no,judul,deskripsi,asal_daerah,link,gambar
1,Aesan gede,"Aesan gede adalah salah satu Busana tradisional Melayu Palembang, berasal dari Sumatra Selatan. Aesan berarti perhiasan, sementara gede bermakna nenek atau leluhur. Penamaan aesan gede berkaitan dengan julukan Sumatra sebagai Suwarna-dwipa (terj. har. 'pulau emas'). Indikasinya terlihat dari beberapa kelengkapan yang dikenakan, yaitu berupa perhiasan bercitrakan keemasan. Pakaian ini termasuk salah satu jenis kain songket yang dahulu sering dipergunakan para kaum bangsawan. Pakaian ini dikenakan pada upacara adat pernikahan karena melambangkan kebesaran orang yang mengenakannya. Aesan gede dipakai pada acara munggah, yaitu salah satu puncak upacara adat pernikahan yang harus dijalankan oleh kedua mempelai. Unsur Hindu Budha sendiri terkandung pada pakaian adat aesan gede. Aesan gede berasal dari Kerajaan Sriwijaya yang menganut kepercayaan Hindu-Buddha. Hal ini terbukti bahwa Bukit Siguntang di kawasan Bukit Kecil merupakan tempat pemujaan atau tempat beribadah umat Hindu-Buddha pada saat itu.",Sumatera Selatan,https://id.wikipedia.org/wiki/Aesan_gede,https://upload.wikimedia.org/wikipedia/commons/5/5c/Aesan_Gede_Songket_Palembang.jpg
2,Air Guci,"Air Guci atau Airguci atau Arguci merupakan salah satu kerajinan tangan bahari (tua/lama) berupa kain khas Banua Banjar yang telah popular sejak ratusan tahun silam. Pada zaman dahulu kain Airguci hanya boleh dipakai oleh penguasa Kerajaan Banjar saja. Hal ini karena Air Guci tak hanya sekadar kain biasa, melainkan simbol kain kehormatan Kesultanan Banjar. Seiring perkembangan zaman serta upaya pelestariannya oleh masyarakat Banjar membuat Kesakralan kain Air Guci kini kian luntur.",Kalimantan Selatan,https://id.wikipedia.org/wiki/Air_Guci,https://upload.wikimedia.org/wikipedia/id/9/96/Busana_Remaja_Suku_Banjar.JPG
3,Atela dan beskap,"Beskap atau Atela adalah sejenis kemeja pria resmi dalam tradisi adat Jawa untuk dikenakan pada acara-acara resmi atau penting. Busana atasan ini diperkenalkan pada akhir abad ke-18 oleh kalangan kerajaan-kerajaan di wilayah Jawa tetapi kemudian menyebar ke berbagai wilayah pengaruh budayanya. Beskap berbentuk kemeja tebal, tidak berkerah lipat, biasanya berwarna gelap, tetapi hampir selalu polos. Bagian depan berbentuk tidak simetris, dengan pola kancing menyamping (tidak tegak lurus). Tergantung jenisnya terdapat perbedaan potongan pada bagian belakang, untuk mengantisipasi keberadaan keris. Beskap selalu dikombinasi dengan jarik (kain panjang yang dibebatkan untuk menutup kaki.",Indonesia,https://id.wikipedia.org/wiki/Atela_dan_beskap,
4,Baji (pakaian),"Baji (바지) adalah jenis celana tradisional Korea, bagian dari hanbok. Baji berbentuk menggelembung sehingga harus diikatkan ke pinggang dengan kain pengikat. Selain longgar, pada pergelangan kaki, baji akan melebihi batas, sehingga diikatkan dengan menggunakan pengikat yang dinamakan daenim.",Indonesia,https://id.wikipedia.org/wiki/Baji_(pakaian),https://upload.wikimedia.org/wikipedia/commons/d/dd/Korea-Seoul_0589-06_traditional_dress.JPG
5,Baju,"Baju adalah istilah untuk pakaian yang digunakan untuk menutupi badan, terutama badan bagian atas. Bagian yang ditutupi dapat bermacam-macam tergantung jenis bajunya. Meskipun istilah baju umumnya digunakan pada pakaian yang dikenakan pada badan bagian atas, terutama bagian batang tubuh dan lengan di antara leher dan pinggang, istilah tersebut juga dapat merujuk pada pakaian yang menutupi seluruh badan dari leher hingga kaki yang sering disebut terusan, misalnya gaun. Untuk membedakannya, baju yang khusus untuk menutupi badan bagian atas saja disebut atasan. Baju atasan pria umumnya dipadankan dengan celana, dan baju atasan wanita dengan celana atau rok. Jenis baju yang paling umum adalah kaus dan kemeja.",Indonesia,https://id.wikipedia.org/wiki/Baju,https://upload.wikimedia.org/wikipedia/commons/a/ab/Kemeja_batik_tulis_lukis.jpg
6,Baju Basurat,"Baju Basurat adalah pakaian tradisional yang digunakan oleh masyarakat adat suku Dayak ketika berperang. Baju Basurat atau pakaian berperang suku Dayak ini terbuat dari kulit kayu, kulit binatang, dan dihiasi logam. Baju Basurat juga kerap dilengkapi dengan tulisan-tulisan yang disebut rajah, dengan tujuan untuk menangkal atau melindungi si pemakai ketika berperang atau berkelahi, sehingga ia selamat.",Kalimantan Timur,https://id.wikipedia.org/wiki/Baju_Basurat,https://upload.wikimedia.org/wikipedia/commons/a/a7/Baju_Basurat_Dayak.jpg
7,Baju Cele,"Baju Cele adalah pakaian tradisional yang berasal dari Maluku. Pakaian ini memiliki motif garis-garis geometris atau berkotak-kotak kecil. Pakaian ini biasa dipadupadankan dengan kain salele yang diletakkan pada bahu dan biasa dikenakan pada upacara adat. Warna baju ini adalah warna-warna cerah, tetapi lebih sering didominasi dengan warna merah. Jika ada seorang gadis yang mengenakan pakaian ini maka ia akan disebut sebagai nona baju cele kaeng atau nona kain salele. Adapun jika seorang wanita yang mengenakannya maka ia akan dipanggil dengan sebutan nyonya kain salele. Pada tahun ajaran 2014/2015, pemerintah Wali Kota Ambon, Richard Luohenapessy menerapkan kebijakan berupa pergantian seragam batik dengan baju cele untuk para pelajar di tingkat SMP dan SMA di Kota Ambon. Kebijakan itu berlaku setiap hari Jumat dan Sabtu.",Maluku,https://id.wikipedia.org/wiki/Baju_Cele,
8,Baju Kustim,"Baju Kustim yang berasal dari kata “Kustin,” yang berarti “kebesaran,” adalah salah satu pakaian khas yang ada di Kalimantan Timur. Baju Kustim digunakan oleh pembesar pada masa Kesultanan Kutai Kartanegara pada saat acara-acara formal. Kesultanan ini dikenal sebagai salah satu kerajaan tertua di Indonesia dan dianggap sebagai cikal bakal kota Nusantara. Pada perkembangannya, Kustim selain digunakan sebagai salah satu pakaian kebesaran di Kesultanan Kutai Kartanegara Ing Martadipura, juga dipakai dalam upacara-upacara penting, termasuk upacara Erau, serta sering dipakai bagi mempelai dalam pernikahan Suku Kutai.",Kalimantan Timur,https://id.wikipedia.org/wiki/Baju_Kustim,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kustim.jpg
9,Baju Layang,"Baju Layang adalah salah satu pakaian adat tradisional suku Banjar yang biasa dikenakan oleh perempuan yang baru menginjak remaja. Baju Layang merupakan baju kurung berbahan kain tipis dengan belahan di samping bahu. Pada masa kini, baju Layang dipakai untuk penari Tari Radap Rahayu.",Kalimantan Selatan,https://id.wikipedia.org/wiki/Baju_Layang,https://upload.wikimedia.org/wikipedia/commons/9/92/Tari_Radap_Rahayu.jpg
10,Baju Sangkarut,"Baju Sangkarut atau baju basulau adalah pakaian adat asal Kalimantan Tengah. Baju sangkarut dibuat oleh suku Dayak Ngaju yang bermukim di daerah Sungai Kapuas, Kalimantan Tengah. Penamaan baju sangkarut berasal dari kata ""sangka"" yang berarti pembatas. Nilai filosofinya, baju ini dapat menangkal setiap gangguan para roh halus. Selain itu, baju sangkarut juga dipercaya bisa melindungi pemakainya dari pengaruh orang jahat. Baju sangkarut juga dikenal dengan sebutan “baju basulau” karena biasanya dilapisi dengan sulau atau hiasan dari kerang, yang melambangkan kekuatan dan perlindungan bagi pemakainya. Dalam budaya Dayak Ngaju, kepercayaan terhadap roh dan energi mistis masih kuat, sehingga baju ini diyakini memiliki peran penting dalam menjaga keselamatan penggunanya. Baju sangkarut umumnya dipakai saat berperang. Selain itu, baju sangkarut juga digunakan dalam acara adat perkawinan.",Bangka Belitung,https://id.wikipedia.org/wiki/Baju_Sangkarut,https://upload.wikimedia.org/wikipedia/commons/8/85/Baju_Sangkarut.jpg
11,Baju Seting dan Kain Cual,"Baju Seting dan Kain Cual adalah pakaian adat dari Bangka Belitung. Kain Cual memiliki kesamaan dengan kain songket yang merupakan khas dari Palembang. Walaupun memiliki kemiripan, tetapi ada perbedaan di antara keduanya. Sama halnya dengan kain songket, pembuatan Kain Cual ini memiliki tingkat kerumitan yang cukup dan memakan waktu yang cukup lama. Tingkat kerumitan dan lama pengerjaan, sama seperti halnya dengan kain songket yang juga memiliki tingkat kerumitan yang cukup tinggi. Hal ini membuat harga dari Kain Cual ini cukup mahal. Hal ini menyebabkan Kain Cual sering kali identik dengan pakaian adat bangsawan, acara pernikahan, dan juga berbagai acara besar lainnya. Pada acara-acara yang cukup besar, Kain Cual dipasangkan dengan Baju Seting. Kain cual merupakan kain asli budaya Bangka Belitung yang dibuat dengan metode tradisional tenun ikat.",Sumatera Selatan,https://id.wikipedia.org/wiki/Baju_Seting_dan_Kain_Cual,
12,Baju Takwo,"Baju Takwo adalah salah satu pakaian adat masyarakat Kutai di Kalimantan Timur. Pakaian ini digunakan dalam acara pernikahan. Dahulu baju takwo hanya dipakai oleh bangsawan atau para penari saat mengikuti upacara adat. Sekarang masyarakat umum pun dapat mengenakan baju takwo sebagai baju pengantin. Baju takwo terbuat dari kain katun, linen, atau beludru. Baju takwo mirip jas tertutup, tetapi berleher tinggi. dibagian depannya ditambah sepotong kain yang disebut jelapah. Jelapah menutup bagian tengah dada dari bawah leher hingga pinggul. Dipadukan dengan kain panjang bermotif parang rusak yang sisinya diberi ornamen berupa rumbai-rumbai keemasan. Kain panjang tersebut dipakai hingga menutup mata kaki yang berumbai berlipat-lipat di bagian depan. secara garis besar baju takwo untuk mempelai wanita dan pria sama, hanya saja untuk mempelai laki-laki bawahannya menggunakan celana panjang yang ditutup sebagian dengan kain panjang bermotif parang rusak.",Kalimantan Timur,https://id.wikipedia.org/wiki/Baju_Takwo,
13,Baju bodo,"Baju Bodo adalah pakaian tradisional perempuan suku Makassar dari Sulawesi Selatan, Indonesia. Baju bodo juga dikenali sebagai salah satu busana tertua di dunia.",Sulawesi Selatan,https://id.wikipedia.org/wiki/Baju_bodo,https://upload.wikimedia.org/wikipedia/commons/1/10/Vrouwen_uit_Makassar%2C_KITLV_4288.tiff
14,Baju koko,Baju koko adalah pakaian tradisional Tionghoa yang beradaptasi dengan budaya Indonesia. Baju koko merupakan model baju tradisional masyarakat Tionghoa secara turun temurun yang dikenal dengan nama Tui-Khim. Baju koko merupakan hasil perpaduan antara budaya Tionghoa dan Jawa.,Indonesia,https://id.wikipedia.org/wiki/Baju_koko,
15,Baju kurung,"Baju kurung (Jawi: باجو كوروڠ) adalah salah satu pakaian adat masyarakat Melayu di Indonesia dan Malaysia. Baju kurung sering diasosiasi dengan kaum perempuan. Ciri khas baju kurung adalah rancangan yang longgar pada lubang lengan, perut, dan dada. Pada saat dikenakan, bagian paling bawah baju kurung sejajar dengan pangkal paha, tetapi untuk kasus yang jarang ada pula yang memanjang hingga sejajar dengan lutut. Baju kurung tidak dipasangi kancing, melainkan hampir serupa dengan t-shirt, meski begitu tetapi baju kurung ada juga yang memiliki kancing yang jumlahnya sekitar 3 baris. Baju kurung tidak pula berkerah, tiap ujungnya direnda. Beberapa bagiannya sering dihiasi sulaman berwarna keemasan. Pada awalnya baju kurung biasa dipakai untuk upacara kebesaran Melayu oleh kaum perempuan di dalam kerajaan, dipakai bersama-sama kain songket untuk dijadikan sarungnya, aneka perhiasan emas, dan tas kecil atau kipas. Karena sebagian besar masyarakat Melayu memeluk Islam, banyak perempuan pengguna baju kurung yang menyerasikannya dengan jilbab, meskipun demikian terdapat juga yang tidak menggunakannya. Kini baju kurung banyak dipakai oleh masyarakat biasa, digunakan anak-anak untuk mengaji, atau ibu-ibu untuk ke pasar, tanpa disertakan pernak-pernik yang terkesan mewah. Pada awalnya, kombinasi baju adat kurung dan kain songket sebagai bawahan dikenakan oleh kaum hawa saat ada upacara kebesaran di kerajaan. Namun, seiring berkembangnya zaman, masyarakat biasa juga mulai mengenakan baju kurung, baik anak-anak maupun dewasa, untuk berbagai acara.",Indonesia,https://id.wikipedia.org/wiki/Baju_kurung,https://upload.wikimedia.org/wikipedia/commons/6/61/Pakaian_sehari-_hari_wanita_melayu_duduk_3.jpg
16,Baju kurung basiba,"Baju Kurung Basiba adalah salah satu pakaian tradisional khas dari etnis Minangkabau di Sumatera Barat, Indonesia. Baju ini merupakan simbol ""kesopanan, keanggunan, dan adat perempuan Minangkabau"", serta sering digunakan dalam upacara adat, pernikahan, dan acara kebudayaan.",Sumatera Barat,https://id.wikipedia.org/wiki/Baju_kurung_basiba,
17,Batik,"Batik (bahasa Jawa: ꦧꦛꦶꦏ꧀, translit. Bathik) adalah kain Budaya Jawa Indonesia bergambar yang pembuatannya secara khusus dengan menuliskan atau menerakan malam pada kain itu, kemudian pengolahannya diproses dengan cara tertentu yang memiliki kekhasan. sebagai keseluruhan teknik, teknologi, serta pengembangan motif dan budaya yang terkait, oleh UNESCO telah ditetapkan sebagai Warisan Kemanusiaan untuk Budaya Lisan dan Nonbendawi (Masterpieces of the Oral and Intangible Heritage of Humanity) sejak 2 Oktober 2009. Sejak saat itu, 2 Oktober ditetapkan sebagai Hari Batik Nasional. Teknik seni kain yang mirip batik dapat ditemukan pada berbagai kebudayaan di dunia seperti di Nigeria, Tiongkok, India, Malaysia, Sri Lanka dan daerah-daerah lain di Indonesia. Batik pesisir Indonesia dari pulau Jawa memiliki sejarah akulturasi yang panjang, dengan corak beragam yang dipengaruhi oleh berbagai budaya, serta paling berkembang dalam hal pola, teknik, dan kualitas pengerjaan dibandingkan batik dari daerah lain. Batik telah dianggap oleh masyarakat sebagai ikon budaya penting di Indonesia. Masyarakat Indonesia mengenakan batik sebagai busana kasual dan formal yang dapat digunakan dalam beragam acara.",Indonesia,https://id.wikipedia.org/wiki/Batik,https://upload.wikimedia.org/wikipedia/commons/6/68/Collectie_NMvWereldculturen%2C_RV-847-81%2C_Batikpatroon%2C_%27Parang_sawut%27%2C_voor_1891.jpg
18,Batik Bekasi,"Batik Bekasi adalah suatu jenis batik khusus ini berasal dari Kota Bekasi, Motif batik Bekasi merupakan karya seni batik yang identik dan bahkan menjadi ikon batik daerah Bekasi. Batik ini terdiri dari 12 motif, peluncuran 12 pakem batik Bekasi ini bersamaan dengan HUT Kota Bekasi ke-17, Senin 10 Maret 2014 dan juga dihadiri oleh Abang Mpok Kota Bekasi sebagai Duta Wisata Kota Bekasi dan Putera Puteri Kartini sebagai Duta Remaja Kota Bekasi. Acara peresmian batik Bekasi ini diadakan di Lapangan Pemerintah kota Bekasi. Tahap awal pengenalan motif tersebut dilakukan kepada sekitar 650 siswa SD dari Kecamatan Bekasi Selatan yang mengikuti Gerakan Mencanting di sekolah. Dinas Pendidikan Kota Bekasi akan menerapkan penggunaan batik Bekasi sebagai seragam sekolah pada 2015.",Indonesia,https://id.wikipedia.org/wiki/Batik_Bekasi,
19,Batik Betawi,"Batik Betawi adalah kerajinan tradisional masyarakat Jakarta. Pembuatannya diawali pada abad ke-19. Motif awalnya mengikuti corak batik wilayah pesisir utara Pulau Jawa, yaitu bertemakan pesisiran. Corak batik Betawi juga dipengaruhi oleh kebudayaan Tiongkok. Motif batik Betawi menggunakan kaligrafi khas Timur Tengah. Selain itu, batik Betawi menggunakan motif yang dikembangkan dari bentuk segitiga.",Bangka Belitung,https://id.wikipedia.org/wiki/Batik_Betawi,https://upload.wikimedia.org/wikipedia/commons/3/32/Stamp_of_Indonesia_-_2012_-_Colnect_668276_-_Batik_Jakarta.jpeg
20,Batik Dermayon,"Batik Dermayon (aksara Jawa: ꦧꦠꦶꦏ꧀ꦢꦼꦂꦩꦪꦺꦴꦤ꧀) juga dikenal sebagai Batik Complongan atau Batik Paoman merupakan ragam batik khas Indramayu, provinsi Jawa Barat dengan motif pesisir laut berupa flora dan fauna laut. Motif tersebut dilatarbelakangi oleh kondisi geografis dan profesi sebagian besar masyarakat Indramayu sebagai nelayan di pesisir utara Pulau Jawa. Dalam teknik pembuatan batik Dermayon terdapat titik-titik atau dot yang tersusun mirip seperti deretan semut yang disebut sebagai teknik melubangi, atau dalam bahasa Indramayu disebut sebagai nyomplongi. Motif dan teknik pembuatannya membuat Batik Dermayon berbeda dengan Batik lainnya. Sentra pembuatan Batik Dermayon berada di kelurahan Paoman, kecamatan Sindang, Indramayu. Batik Dermayon masuk sebagai salah satu Kebudayaan Takbenda dari Jawa Barat dan teregistrasi secara resmi oleh Kementerian Pendidikan Dasar dan Menengah Republik Indonesia dengan nomor register 372/M/2021. Indramayu merupakan salah satu sentra penghasil batik terbesar di Jawa Barat, tiga sentra lainnya yaitu Cirebon, Garut, dan Tasikmalaya. Dari keempat daerah tersebut, Cirebon merupakan sentra tertua di Indonesia.",Jawa Barat,https://id.wikipedia.org/wiki/Batik_Dermayon,https://upload.wikimedia.org/wikipedia/commons/8/85/Motif_Batik_Dermayon_Complongan_di_Paoman.jpg
21,Batik Kalimantan,"Batik Kalimantan adalah pakaian Batik khas yang berasal dari pulau kalimantan juga mempunyai batik yang di­hasilkan dari teknik rintang lilin (wax resist). Namun menyebut batik Kalimantan maka sering dikacaukan dengan kain tritik jum putan ataupun sasirangan, padahal secara teknis maupun tapak motif yang dihasilkan pun berbeda.",Indonesia,https://id.wikipedia.org/wiki/Batik_Kalimantan,
22,Batik Malaysia,"Batik Malaysia adalah seni tekstil yang berasal dari Malaysia, khususnya di pesisir timur Malaysia (Kelantan, Terengganu dan Pahang). Kebanyakan motif populernya adalah dedaunan dan bunga. Batik Malaysia yang menggambarkan manusia atau hewan terbilang jarang karena hukum Islam melarang penggambaran makhluk hidup sebagai dekorasi. Batik Malaysia juga terkenal dengan desain geometrisnya, seperti bentuk spiral. Metode pembuatan batik Malaysia juga sangat berbeda dari batik Jawa Indonesia, polanya lebih besar dan lebih sederhana, jarang, bahkan tidak menggunakan canting untuk membuat pola yang rumit dan sangat bergantung pada metode melukis kuas untuk menerapkan warna pada kain. Warnanya juga cenderung lebih terang dan lebih hidup daripada batik Jawa yang berwarna gelap. Sejalan dengan konsep budaya Malaysia, pemerintah Malaysia kini mendukung batik Malaysia sebagai pakaian nasional untuk semua lapisan masyarakat, dengan meminta desainer lokal untuk menciptakan desain batik baru yang mencerminkan ide Malaysia. Di Malaysia, batik juga dianggap sebagai ikon budaya, dengan adanya ""Hari Batik Malaysia"" yang dirayakan setiap tahun pada tanggal 3 Desember. Banyak warga Malaysia yang terus mengenakan batik Malaysia setiap hari baik untuk acara kasual maupun formal.",Nusa Tenggara Timur,https://id.wikipedia.org/wiki/Batik_Malaysia,https://upload.wikimedia.org/wikipedia/commons/4/4f/Malaysian_Batik.jpg
23,Batik Sulawesi,"Batik Sulawesi adalah jenis pakaian batik yang berasal dari Pulau Sulawesi ini pada umumnya sangat kental dengan tradisi kain tenun dan mengenai Tenun menenun, atau dengan kata lain ""dibuat secara manual dengan tangan manusia, tanpa penggunaan Mesin"", namun batik hasil buatan mesin juga telah cukup berkembang di daerah tersebut. Di wilayah sekitaran ini batik berkembang di Sulawesi Selatan (Tana Toraja), Sulawesi Tengah (Palu). dan Sulawesi Utara (Bantenan, Pinabetengan, dan Minahasa).",Banten,https://id.wikipedia.org/wiki/Batik_Sulawesi,
24,Bili'u,"Bili'u (dibaca bili-u) merupakan pakaian tradisional perempuan suku Gorontalo, Pulau Sulawesi, Indonesia. Bili'u adalah salah satu pakaian adat Gorontalo yang wajib digunakan mempelai wanita dalam upacara adat pernikahan. Bili'u dalam perkembangannya dikenal sebagai salah satu pakaian adat yang unik dan penuh nilai-nilai filosofis di Indonesia. Pada tahun 2012, Bili'u ditetapkan oleh Pemerintah Indonesia melalui Kementerian Pendidikan dan Kebudayaan sebagai Warisan Budaya Takbenda Indonesia yang berasal dari Gorontalo, Sulawesi.",Gorontalo,https://id.wikipedia.org/wiki/Bili%27u,https://upload.wikimedia.org/wikipedia/commons/f/f9/Bili%27u.png
25,Blangkon,"Blangkon (bahasa Jawa: ꦧ꧀ꦭꦁꦏꦺꦴꦤ꧀) adalah penutup atau ikat kepala lelaki dalam tradisi busana adat Jawa. Sebutan blangkon berasal dari kata Blanco dari bahasa Belanda, istilah yang dipakai masyarakat etnis Jawa untuk mengatakan sesuatu yang siap pakai. Hal itu atas perintah pemerintah Kolonial Belanda karena bangsawan Jawa bila dikumpulkan dalam pertemuan rutin selalu terlambat dengan alasan lamanya mengikat kain yang diletakan di kepala atau udeng. Di balik blangkon, ada makna filosofis yang mendalam, berupa pengharapan dalam nilai-nilai hidup. Masyarakat Jawa kuno meyakini bahwa kepala seorang lelaki memiliki arti serius dan khusus sehingga penggunaan blangkon sudah menjadi pakaian keseharian atau pakaian wajib bangsawan Jawa. Dahulu, pembuatan blangkon tidak bisa dilakukan oleh sembarang orang. Hal ini karena terdapat penetapan pakem atau aturan tersendiri. Jadi, hanya seniman yang memahami dan memiliki keahlian terkait pakem tersebut yang boleh membuat blangkon. Blangkon sebenarnya bentuk praktis dari iket yang merupakan tutup kepala yang dibuat dari batik dan digunakan oleh kaum pria sebagai bagian dari pakaian tradisional Jawa. Untuk beberapa tipe blangkon ada yang menggunakan tonjolan pada bagian belakang blangkon yang disebut mondholan. Mondholan ini menandakan model rambut pria masa itu yang sering mengikat rambut panjang mereka di bagian belakang kepala, sehingga bagian tersebut tersembul di bagian belakang blangkon. Lilitan rambut itu harus kencang supaya tidak mudah lepas. Sekarang, lilitan rambut panjang yang menjadi mondholan sudah dimodifikasi karena orang sekarang kebanyakan berambut pendek dengan membuat mondholan yang dijahit langsung pada bagian belakang blangkon. Blangkon Surakarta memiliki mondholan trèpès atau gepeng, sedangkan mondholan gaya Yogyakarta berbentuk bulat seperti onde-onde, sedangkan Mondholan gaya Ponorogo berbentuk ulekan yang lebih besar dari mondholan gaya Yogyakarta. Selain itu terdapat hiasan blangkon yang berasal dari gaya ",Aceh,https://id.wikipedia.org/wiki/Blangkon,https://upload.wikimedia.org/wikipedia/commons/5/5d/Ngayogyakarta-style_blangkon%2C_2015-05-17_04.jpg
26,Bundo Kanduang,"Bundo Kanduang atau dapat diterjemahkan secara kasar ke dalam bahasa Indonesia sebagai Bunda Kandung, adalah personifikasi etnis Minangkabau sekaligus julukan yang diberikan kepada perempuan sulung atau yang dituakan dalam suatu suku (klan). Sebutan bundo kanduang hanya melakat pada seorang perempuan yang sudah berkeluarga.",Sumatera Barat,https://id.wikipedia.org/wiki/Bundo_Kanduang,https://upload.wikimedia.org/wikipedia/commons/0/08/Bararak_Bako_Manjujuang_Katidiang.jpg
